functional_ingredient_name,category_main,category_sub,claim_text,source,confidence,notes,categories_json
구절초추출물(조인시스트),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
굴가수분해물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
그린세라-F (인동덩굴꽃봉오리추출물),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
그린커피빈주정추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
그린커피빈추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
그린커피빈추출물(기능성원료인정제2014-31호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
글로빈 가수분해물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
금사상황버섯,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
기장밀추출복합물(KeranatTM),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
까마귀쪽나무 열매 주정추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
깻잎추출물(PF501),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
꾸지뽕잎추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
꾸지뽕잎추출물(기능성원료인정제2021-16호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
꾸지뽕잎추출물(제2021-16호),기타,,(국문) 위 불편감 개선에 도움을 줄 수 있음 (영문) May help to reduce stomach discomfort,item_class,0.25,"명확한 기능성 문구를 찾지 못해 기타로 분류 | (1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",[]
끼꼬망 포도종자추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
나한과박추출분말(DKB131),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
난각막가수분해물(NEM®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
난각막분말(DEMR),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
녹각효소분해추출물HP(NP-2007),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
다래추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
다래추출물(기능성원료인정제2009-18호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
다이크로스타키스 글로메라타 추출물(Dyglomera),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
다이크로스타키스 글로메라타 추출물(Dyglomera®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
