functional_ingredient_name,category_main,category_sub,claim_text,source,confidence,notes,categories_json
유청단백지질추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
유크림농축분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
이소말토올리고당,기타,,,"official, curated",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
인동덩굴꽃봉오리추출물(그린세라-F)(제2019-14호),기타,,"(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa",item_class,0.25,"명확한 기능성 문구를 찾지 못해 기타로 분류 | -영·유아, 어린이, 임산부 및 수유부는 섭취에 주의",[]
인디안구스베리·새싹보리추출복합물(IB Complex),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
자몽추출물등 복합물(Sinetrol),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
자일로올리고당(xylooligosaccharide) 분말,기타,,,"official, rule, curated",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
자일로올리고당(xylooligosaccharide) 분말(기능성원료인정제2009-80호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
작약추출물등복합물(HT074),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
장미꽃잎추출물(NOVAROSE®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
저분자돈태반펩타이드,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
저분자유청단백가수분해물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
저분자유청펩타이드,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
적포도발효농축액,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
전칠삼 추출물 등 복합물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
전칠삼추출물 등 복합물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
전호잎추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
정어리펩타이드 SP100N(기능성원료인정제2004-1호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
중쇄지방산(MCFA) 함유유지,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
증숙생강추출분말(GGE03),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
지각상엽추출혼합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
지방산복합물 FAC(Fatty Acid Complex),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
지초추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
차즈기추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
참깨박추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
참나리추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
참당귀 추출분말(Nutragen),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
참당귀뿌리추출물(기능성원료인정제2004-6호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
참당귀황기추출복합물(SHPro®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
창녕양파추출액,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
창녕양파추출액(기능성원료인정제2010-38호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
천마 등 복합추출물(HX106),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
천마추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
천심련 추출물 (ParActin®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
천심련추출물(ParActin®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
청국장균배양정제물(폴리감마글루탐산칼륨),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
청호추출분말(리베라템),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
카카오분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
칸탈로프멜론추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
칸탈로프멜론추출물(기능성원료인정제2008-9호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
커피만노올리고당분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
커피만노올리고당분말(기능성원료인정제2009-15호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
콜레우스 포스콜리 추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
콜레우스 포스콜리 추출물 Forslean,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
콩.보리 발효복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
콩발효추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
콩발효추출물(기능성원료인정제2007-10호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
콩발효추출물(기능성원료인정제2012-32호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
크릴오일 (superba boost),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
크릴오일(FJH-KO),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
크릴오일등복합물(FlexPro MDR),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
키토산,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
키토올리고당,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
타가토스,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
타마린드강황주정추출복합물(TamaFlexR),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
타히보 추출물 (TabetriR),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
털부처꽃추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
토치대두발효추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
티아이소크라이시스루테아분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
파비플로라생강뿌리추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
팔밋올레산 함유 명태(알래스카폴락)유래 정제어유,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
포도 종자 추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
포도과피 효소발효추출물(KL-GEFE),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
포도블루베리추출혼합분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
포도씨 효소분해 추출 분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
포도잎추출물(HP-01),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
포도종자추출물(기능성원료인정제2005-9호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
포도종자추출물(기능성원료인정제2008-42호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
폴리감마글루탐산,기타,,① 체내 칼슘흡수 촉진에 도움을 줄 수 있음,item_class,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
표고버섯균사체 AHCC,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
표고버섯균사체추출물(기능성원료인정제2008-23호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
풋사과 농축분말(APPLOZINR),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
풋사과농축분말(APPLOZIN),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
풋사과추출물 애플페논(Applephenon),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
풋사과추출물 애플페논(Applephenon)(기능성원료인정제2021-6호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
피니톨,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
피니톨 분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
피롤로퀴놀린퀴논이나트륨염(NOVAQ®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
피브로인추출물 BF-7,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
피브로인추출물 BF-7(기능성원료인정제2009-46호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
"피엘에이지(PLAG, 1-palmitoyl-2-linoleoyl-3-acetyl-rac-g",기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
"피엘에이지(PLAG, 1-palmitoyl-2-linoleoyl-3-acetyl-rac-g)",기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
피크노제놀-프랑스해안송껍질추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
필수 지방산,기타,,(1) 필수지방산의 보충,item_class,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
핑거루트추출물(판두라틴),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
핑거루트추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
한삼덩굴추출분말(HSy2),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
해국추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
해바라기종자추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
해태올리고펩타이드,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
허니부쉬추출발효분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
헤모힘 당귀등 혼합추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
현삼추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
호로파종자 등 추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
호로파종자추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
호박씨추출물 등 복합물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
호프추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
홀리바질추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
홍경천추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
황국(Aspergillus 발효물 MK01),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
황금등복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
황금등복합물(기능성원료인정제2006-3호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
황기추출물 등 복합물(HT042),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
황칠나무잎·줄기추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
황해쑥추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
회화나무 열매 추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
흑차추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
흑효모배양액분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
흰목이버섯효소분해추출물(Neu learn),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
히드록시프로필메틸셀룰로오스,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
히드록시프로필메틸셀룰로오스(기능성원료인정제2014-12호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
히알우론산 HA-LF-P,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
히알우론산나트륨,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
